Unnamed: 0,NRO_HOGAR,COMPONENTE,H15,ANO4,TRIMESTRE,REGION,AGLOMERADO,PONDERA,CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH16,ESTADO,CAT_OCUP,CAT_INAC,PP02E,PP02H,PP07I,PP07H,PP04B1,DECINDR,T_VI,NIVEL_ED,V2_M,REALIZADA,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II4_1,II4_2,II4_3,II7,II8,II9,V1,V2,V21,V22,V3,V5,V6,V7,V8,V11,V12,V13,V14,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECCFR,REALIZADA_jefx,CH04_jefx,CH06_jefx,ESTADO_jefx,NIVEL_ED_jefx,PP02E_jefx,CAT_OCUP_jefx,PP07I_jefx,PP07H_jefx,PP04B1_jefx,REALIZADA_conyuge,CH04_conyuge,ESTADO_conyuge,JEFE_TRABAJA,CONYUGE_TRABAJA,JEFA_MUJER,HOGAR_MONOP,ratio_ocupados,NBI_SUBSISTENCIA,NBI_COBERTURA_PREVISIONAL,NBI_DIFLABORAL,NBI_HACINAMIENTO,NBI_SANITARIA,NBI_TENENCIA,NBI_TRABAJO_PRECARIO,NBI_VIVIENDA,NBI_ZONA_VULNERABLE,DESERTO
2448,1,1,1,2022,3,44,91,59,1,2,26,5,1,1,1,1.0,1,1,1,3,0,0,0,0.0,1.0,2.0,4,0,5,0,1,1,4,1,4,1,1,1,1,1,1,1,2,2,2,4,2,2,1,1,2,6,1,1.0,1,2,2,2,2,2,2,1,2,2,2,2,2,1,0,1,45000,5,1,2,26,1,5,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,1,0,1.0,0,0,0.0,0,0,0,0,0,0,0
2160,1,4,1,2022,3,42,10,565,3,1,27,5,2,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,7,1,1,1,1,1,1,1,1,1,2,2,2,7,3,1,1,1,2,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,2,4,0,4,0,12,1,1,57,1,6,0,3,1.0,2.0,2.0,1,2.0,1.0,1,1,0,0,0.75,0,0,0.0,0,0,0,0,0,0,0
56,1,3,1,2021,3,43,6,224,5,1,26,1,4,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,5,2,4,1,1,1,1,1,1,1,2,2,2,5,3,2,1,2,1,1,1,1.0,1,1,2,2,2,2,2,2,2,2,1,2,2,4,0,4,275000,9,1,2,80,3,6,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,0.25,0,0,0.0,0,0,0,0,0,0,0
1959,1,3,1,2022,3,43,36,122,3,1,15,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,8,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,1,3,0,3,105000,4,1,1,41,1,3,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.6666666666666666,0,0,0.0,0,0,0,0,0,0,0
2174,1,3,1,2021,3,41,8,464,3,1,17,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,4,1,1,1,1,1,1,1,2,2,2,4,2,1,1,1,1,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,15000,1,1,1,50,1,6,0,2,0.0,0.0,2.0,1,2.0,3.0,1,0,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
4775,1,3,1,2022,2,43,5,342,5,2,17,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,2,1,4,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1.0,1,1,2,2,2,1,2,2,2,2,2,2,2,5,0,5,61600,1,1,2,79,3,4,0,0,0.0,0.0,0.0,1,2.0,1.0,0,1,1,0,0.2,0,0,0.0,0,0,0,0,0,0,0
895,1,1,1,2022,3,43,34,504,1,2,33,5,1,1,1,1.0,3,1,1,3,0,0,0,0.0,2.0,2.0,12,0,5,0,1,2,1,1,9,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,3,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,12,1,2,33,1,5,0,3,0.0,2.0,2.0,1,0.0,0.0,1,0,1,0,1.0,0,0,0.0,0,0,1,1,0,0,0
4851,1,3,1,2022,3,1,33,5135,3,1,15,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,2,2,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1.0,1,2,2,2,2,1,1,2,2,2,2,2,2,5,1,4,118000,2,1,1,48,1,3,0,3,0.0,1.0,2.0,1,2.0,2.0,1,0,0,0,0.2,0,0,0.0,0,0,0,0,0,1,0
4303,1,5,1,2021,2,40,23,230,3,2,34,5,1,1,1,2.0,1,1,1,2,0,0,0,0.0,0.0,2.0,2,0,6,0,1,1,4,1,2,1,1,1,1,1,1,1,2,2,2,4,3,1,1,1,1,1,1,1.0,1,1,2,2,2,2,2,2,2,2,2,1,2,5,0,5,120000,6,1,1,71,1,5,0,1,0.0,0.0,2.0,1,2.0,3.0,1,0,0,0,0.8,0,0,0.0,0,0,0,0,0,0,0
1685,1,4,1,2021,3,42,27,341,3,2,21,5,4,1,1,1.0,2,1,3,0,3,0,2,,,,1,3600,5,0,1,1,4,2,1,2,1,1,1,1,1,2,1,2,2,4,3,2,2,2,1,1,1,1.0,1,2,2,2,2,1,2,2,2,1,2,2,2,6,1,5,62800,2,1,1,44,1,4,0,3,2.0,2.0,2.0,1,2.0,1.0,1,1,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,1,0
2779,1,4,1,2022,3,42,26,183,9,2,16,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,6,1,1,1,1,1,1,1,1,1,2,2,2,6,5,2,1,2,1,5,1,1.0,1,1,2,2,2,1,2,2,2,2,2,1,2,6,1,5,324100,6,1,2,32,1,6,0,3,0.0,1.0,2.0,1,1.0,1.0,1,1,1,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
7305,1,3,1,2021,3,43,13,768,3,2,17,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,2,2,3,1,1.0,1,2,2,2,2,2,2,1,2,2,2,1,2,4,1,3,60000,3,1,1,47,1,5,0,3,0.0,1.0,2.0,1,2.0,3.0,1,0,0,0,0.25,0,0,0.0,0,0,1,0,0,0,0
5216,1,3,1,2021,2,40,18,235,3,1,21,5,1,1,1,2.0,1,1,3,0,1,0,2,,,,2,12000,1,12000,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,2,2,1,2,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,0,3,92000,7,1,1,49,1,6,0,3,0.0,1.0,2.0,1,2.0,3.0,1,0,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
4034,1,3,1,2022,2,41,12,283,9,2,22,5,4,1,1,1.0,1,1,1,3,0,0,0,2.0,2.0,2.0,2,6000,5,0,1,1,5,1,4,1,1,1,1,1,1,1,2,2,2,5,2,2,1,1,2,1,2,1.0,1,2,2,2,2,2,2,2,2,1,2,2,2,7,1,6,131000,2,1,1,36,1,2,0,3,2.0,2.0,2.0,1,2.0,1.0,1,1,0,0,0.4285714285714285,0,0,0.0,0,0,0,1,0,0,0
412,1,3,1,2021,2,43,13,1486,9,2,18,5,1,1,1,1.0,3,3,3,0,3,0,2,,,,2,12000,5,0,1,2,1,1,9,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,3,1,1.0,2,2,2,2,2,2,2,2,2,2,1,1,2,3,0,3,51000,4,1,2,23,3,5,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,0.0,1,0,1,0,0,0,0
1482,1,3,1,2021,2,40,22,195,3,1,21,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,0,3,70000,6,1,2,72,3,4,0,0,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
3734,1,4,1,2021,2,44,17,483,3,2,20,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,4,1,2,1,1,1,1,1,1,1,2,2,2,4,3,2,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,210000,8,1,2,51,3,4,0,0,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.2,0,0,0.0,0,0,0,0,0,0,0
1915,1,3,1,2021,2,43,34,574,3,1,16,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,2,4,2,1,2,1,1,1,2,2,1,2,4,3,2,2,1,2,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,2,4,0,4,0,12,1,1,44,1,3,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0
7385,1,2,1,2022,3,43,30,43,3,2,28,5,4,1,1,1.0,2,1,1,3,0,0,0,2.0,2.0,2.0,2,0,5,0,1,1,3,1,4,2,1,1,1,1,2,3,1,1,2,3,2,2,1,2,2,1,2,3.0,1,1,2,2,2,1,2,1,2,2,2,1,2,5,2,3,52000,1,1,2,45,3,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,0.2,0,0,0.0,0,1,0,1,0,1,0
8005,1,3,1,2022,2,43,38,142,3,1,19,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,4,3,2,1,1,1,1,1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,5,0,5,258000,7,1,2,47,1,6,0,3,0.0,1.0,2.0,1,1.0,1.0,1,1,1,0,0.4,0,0,0.0,0,0,0,0,0,0,0
3754,1,1,1,2022,3,1,33,2408,1,2,28,1,1,1,1,1.0,1,1,1,3,0,0,0,0.0,1.0,2.0,7,0,5,0,1,1,2,1,3,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,3,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,1,2,0,2,213000,9,1,2,28,1,5,0,3,0.0,1.0,2.0,1,1.0,1.0,1,1,1,0,1.0,0,0,0.0,0,0,1,0,0,0,0
126,1,6,1,2022,3,42,26,123,3,1,23,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,5,1,1,1,1,1,1,1,1,1,2,2,2,5,4,2,1,2,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,6,0,6,0,12,1,1,58,1,4,0,1,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.8333333333333334,0,0,0.0,0,0,0,0,0,0,0
1298,1,4,1,2022,3,43,14,97,3,2,20,5,4,1,1,1.0,3,1,3,0,3,0,2,,,,0,0,5,0,1,1,3,1,4,1,1,1,1,1,1,3,2,2,2,3,3,2,1,2,2,3,2,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,6,0,6,188000,3,1,1,43,1,2,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.3333333333333333,0,0,0.0,0,0,1,0,0,0,0
7468,1,3,1,2022,3,40,23,284,5,2,19,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,1,9000,5,0,1,2,4,1,2,1,1,1,1,1,1,1,1,2,2,4,3,2,1,1,2,1,1,1.0,1,1,2,2,2,1,2,2,2,2,2,2,2,6,0,6,124000,2,1,1,68,3,3,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.1666666666666666,0,0,0.0,0,0,0,0,0,1,0
5641,1,2,1,2022,3,43,6,491,3,2,22,1,1,1,1,2.0,1,1,3,0,3,0,1,,,,0,0,5,0,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,190000,7,1,2,50,1,2,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,1,0,0.6666666666666666,0,0,0.0,0,0,0,0,0,0,0
7755,1,2,1,2021,3,44,31,86,2,2,62,2,1,1,1,1.0,3,1,3,0,1,0,2,,,,5,30000,1,30000,1,1,2,1,4,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1.0,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,2,55000,5,1,1,67,3,1,0,0,0.0,0.0,0.0,1,2.0,3.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0
6349,1,3,1,2022,3,43,4,894,3,2,27,5,2,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,0,12,1,1,59,1,6,0,3,2.0,2.0,2.0,1,2.0,1.0,1,1,0,0,0.6666666666666666,0,0,0.0,0,0,0,0,0,0,0
2180,1,7,1,2021,3,41,8,410,9,2,24,5,4,1,1,1.0,1,1,1,3,0,0,0,2.0,2.0,2.0,5,5000,3,0,1,1,6,1,4,1,1,1,1,1,1,1,2,2,2,6,5,2,1,1,1,1,2,1.0,1,1,2,2,2,1,2,2,2,2,2,2,2,11,3,8,0,12,1,1,57,3,1,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.5454545454545454,0,0,0.0,0,0,0,1,0,0,0
