Unnamed: 0,NRO_HOGAR,COMPONENTE,H15,ANO4,TRIMESTRE,REGION,AGLOMERADO,PONDERA,CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH16,ESTADO,CAT_OCUP,CAT_INAC,PP02E,PP02H,PP07I,PP07H,PP04B1,DECINDR,T_VI,NIVEL_ED,V2_M,REALIZADA,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II4_1,II4_2,II4_3,II7,II8,II9,V1,V2,V21,V22,V3,V5,V6,V7,V8,V11,V12,V13,V14,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECCFR,REALIZADA_jefx,CH04_jefx,CH06_jefx,ESTADO_jefx,NIVEL_ED_jefx,PP02E_jefx,CAT_OCUP_jefx,PP07I_jefx,PP07H_jefx,PP04B1_jefx,REALIZADA_conyuge,CH04_conyuge,ESTADO_conyuge,JEFE_TRABAJA,CONYUGE_TRABAJA,JEFA_MUJER,HOGAR_MONOP,ratio_ocupados,NBI_SUBSISTENCIA,NBI_COBERTURA_PREVISIONAL,NBI_DIFLABORAL,NBI_HACINAMIENTO,NBI_SANITARIA,NBI_TENENCIA,NBI_TRABAJO_PRECARIO,NBI_VIVIENDA,NBI_ZONA_VULNERABLE,DESERTO
4899,1,4,1,2022,2,1,32,3359,3,2,14,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,1,0,1,2,5,1,1,1,1,1,1,1,1,1,2,2,2,5,3,2,1,2,2,2,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,0,12,1,1,56,1,6,0,3,9.0,2.0,2.0,1,2.0,1.0,1,1,0,0,0.4,0,0,0.0,0,0,0,0,0,0,0
330,1,1,1,2021,3,43,3,335,1,1,19,5,1,1,1,1.0,2,2,3,0,3,0,2,,,,12,-9,5,0,1,2,2,1,9,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,3,1,1.0,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,1,0,12,1,1,19,3,5,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,1,0,0,0,0
391,1,4,1,2022,2,43,5,501,3,2,14,5,2,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,5,1,4,1,1,1,1,1,1,1,2,2,2,5,4,2,1,2,1,1,1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,6,2,4,280000,7,1,1,45,1,4,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
6785,1,5,1,2022,2,43,14,112,3,1,14,5,1,1,1,1.0,1,1,3,0,1,0,2,,,,2,22000,3,22000,1,1,2,2,4,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1.0,2,1,2,2,2,1,2,2,2,2,2,2,2,7,2,5,44000,1,1,2,40,3,4,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,0.0,1,0,0,0,0,0,0
3321,1,1,1,2021,2,41,15,154,1,2,50,2,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,2,1,4,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,1,2,3,0,3,35000,2,1,2,50,3,5,0,0,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
6339,1,4,1,2021,3,43,5,248,3,1,29,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,2,4,1,9,1,1,1,1,1,1,1,2,2,2,4,3,2,1,1,1,3,1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,4,0,4,0,12,1,1,59,1,5,0,1,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.75,0,0,0.0,0,0,1,0,0,0,0
1589,1,2,1,2021,3,40,18,247,3,2,22,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,1,1,1.0,2,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,26600,2,1,2,65,3,4,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0
2787,1,2,1,2022,2,43,36,143,3,2,24,5,4,1,1,1.0,1,1,1,3,0,0,0,2.0,2.0,2.0,3,20000,5,0,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,1,1,1,1,1,1.0,1,2,2,2,2,1,2,2,2,1,2,2,1,4,1,3,130500,5,1,2,44,1,6,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,1,0,0.5,0,0,0.0,0,0,0,1,0,0,0
1281,1,4,1,2021,2,43,6,198,3,1,17,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,25000,1,1,2,48,1,3,0,3,2.0,2.0,1.0,1,1.0,3.0,1,0,1,0,0.25,0,0,0.0,0,0,0,0,0,0,0
3681,1,5,1,2021,2,43,3,332,3,1,18,5,2,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,7,1,4,1,1,1,1,1,1,1,2,2,2,7,3,2,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,175000,7,1,1,58,1,5,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.4,0,0,0.0,0,0,0,0,0,0,0
3683,1,4,1,2022,2,40,23,273,3,1,15,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,3,1,1,1,1,1,1,1,2,2,2,4,3,2,1,2,2,4,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,2,7,1,6,137000,2,1,2,43,2,4,0,3,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.2857142857142857,0,0,1.0,0,0,0,0,0,0,0
2666,1,3,1,2021,2,41,12,310,3,2,19,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,4,1,4,1,1,1,1,1,1,1,2,2,2,4,3,2,1,2,2,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,1,2,4,0,4,135000,7,1,1,48,1,6,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0
125,1,4,1,2021,3,43,34,724,3,2,21,5,1,1,1,1.0,1,1,3,0,3,0,1,,,,0,0,5,0,1,1,4,1,3,1,1,1,1,1,1,1,2,2,2,4,3,2,1,1,1,1,1,1.0,1,1,1,2,2,2,2,2,2,1,2,1,2,4,0,4,0,12,1,1,63,3,5,0,0,0.0,0.0,0.0,1,2.0,1.0,0,1,0,0,0.25,0,0,0.0,0,0,0,0,0,0,0
