Unnamed: 0,NRO_HOGAR,COMPONENTE,H15,ANO4,TRIMESTRE,REGION,AGLOMERADO,PONDERA,CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH16,ESTADO,CAT_OCUP,CAT_INAC,PP02E,PP02H,PP07I,PP07H,PP04B1,DECINDR,T_VI,NIVEL_ED,V2_M,REALIZADA,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II4_1,II4_2,II4_3,II7,II8,II9,V1,V2,V21,V22,V3,V5,V6,V7,V8,V11,V12,V13,V14,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECCFR,REALIZADA_jefx,CH04_jefx,CH06_jefx,ESTADO_jefx,NIVEL_ED_jefx,PP02E_jefx,CAT_OCUP_jefx,PP07I_jefx,PP07H_jefx,PP04B1_jefx,REALIZADA_conyuge,CH04_conyuge,ESTADO_conyuge,JEFE_TRABAJA,CONYUGE_TRABAJA,JEFA_MUJER,HOGAR_MONOP,ratio_ocupados,NBI_SUBSISTENCIA,NBI_COBERTURA_PREVISIONAL,NBI_DIFLABORAL,NBI_HACINAMIENTO,NBI_SANITARIA,NBI_TENENCIA,NBI_TRABAJO_PRECARIO,NBI_VIVIENDA,NBI_ZONA_VULNERABLE,DESERTO
4913,1,3,1,2021,2,44,17,201,3,2,15,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,3,1,4,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,200000,10,1,2,47,1,6,0,3,0.0,1.0,2.0,1,1.0,1.0,1,1,1,0,0.6666666666666666,0,0,0.0,0,0,0,0,0,0,0
7110,1,2,1,2022,2,40,22,105,3,1,14,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1.0,1,2,2,2,2,2,2,1,2,2,2,2,2,3,1,2,100000,5,1,1,41,1,5,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
6260,1,3,1,2021,2,43,4,608,3,2,20,5,2,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,1,1,2,4,0,4,0,12,1,1,50,1,4,0,2,0.0,0.0,2.0,1,2.0,2.0,1,0,0,0,0.25,0,0,0.0,0,0,0,0,0,0,0
3012,1,3,1,2021,3,42,27,244,3,2,22,5,1,1,1,2.0,3,1,2,3,0,0,0,,,,0,0,5,0,1,1,3,1,1,2,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,8,2,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,0,3,40000,2,1,1,61,3,6,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0
166,1,4,1,2022,3,43,6,215,5,1,16,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,12,-9,3,0,1,1,4,1,2,1,1,1,1,1,1,1,2,2,2,4,3,2,1,2,2,1,1,1.0,1,1,1,2,2,2,2,2,2,1,1,2,2,4,0,4,0,12,1,2,85,3,1,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,0.25,0,0,0.0,0,0,0,0,0,0,0
2624,1,3,1,2022,2,40,23,206,3,1,16,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,5,1,2,2,1,1,1,1,1,2,2,2,2,5,4,2,1,2,2,2,1,1.0,2,1,2,2,2,1,2,2,2,1,2,2,2,4,0,4,46000,1,1,2,49,3,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0
3780,1,5,1,2022,2,40,18,277,5,2,18,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,5,1,1,1,1,1,1,1,1,1,2,2,2,5,4,2,1,1,1,1,1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,5,0,5,147000,4,1,2,72,3,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,0.6,0,0,0.0,0,0,0,0,0,0,0
778,1,3,1,2021,3,1,33,1656,3,2,15,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,4,1,1,2,1,1,1,2,2,2,2,4,3,2,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,120000,6,1,1,42,1,6,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0
1386,1,3,1,2022,2,44,91,148,3,2,16,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,1,6400,3,0,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1.0,1,2,2,2,2,2,2,2,2,1,2,1,2,5,0,5,306400,8,1,1,43,1,2,0,3,1.0,2.0,2.0,1,2.0,3.0,1,0,0,0,0.2,0,0,0.0,0,0,0,0,0,0,0
7431,1,2,1,2021,2,43,6,185,5,2,43,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,12,-9,5,0,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1.0,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,2,0,12,1,2,90,3,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0
