Unnamed: 0,NRO_HOGAR,COMPONENTE,H15,ANO4,TRIMESTRE,REGION,AGLOMERADO,PONDERA,CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH16,ESTADO,CAT_OCUP,CAT_INAC,PP02E,PP02H,PP07I,PP07H,PP04B1,DECINDR,T_VI,NIVEL_ED,V2_M,REALIZADA,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II4_1,II4_2,II4_3,II7,II8,II9,V1,V2,V21,V22,V3,V5,V6,V7,V8,V11,V12,V13,V14,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECCFR,REALIZADA_jefx,CH04_jefx,CH06_jefx,ESTADO_jefx,NIVEL_ED_jefx,PP02E_jefx,CAT_OCUP_jefx,PP07I_jefx,PP07H_jefx,PP04B1_jefx,REALIZADA_conyuge,CH04_conyuge,ESTADO_conyuge,JEFE_TRABAJA,CONYUGE_TRABAJA,JEFA_MUJER,HOGAR_MONOP,ratio_ocupados,NBI_SUBSISTENCIA,NBI_COBERTURA_PREVISIONAL,NBI_DIFLABORAL,NBI_HACINAMIENTO,NBI_SANITARIA,NBI_TENENCIA,NBI_TRABAJO_PRECARIO,NBI_VIVIENDA,NBI_ZONA_VULNERABLE,DESERTO
1103,1,3,1,2021,3,1,33,5755,8,1,14,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,3,1,4,2,1,2,1,1,2,1,2,2,2,3,3,2,1,1,2,1,1,1.0,1,2,2,2,2,2,1,1,2,2,2,1,1,3,0,3,62000,4,1,2,27,1,6,0,3,1.0,2.0,2.0,1,0.0,0.0,1,0,1,0,0.6666666666666666,0,0,0.0,0,1,0,0,0,0,0
5108,1,1,1,2021,2,41,8,202,1,1,32,1,1,1,1,1.0,3,1,1,3,0,0,0,0.0,1.0,2.0,12,0,5,0,1,1,3,1,4,1,1,1,1,1,1,1,2,2,2,3,1,1,2,2,2,3,2,1.0,1,1,2,2,2,2,2,2,2,2,2,1,2,2,0,2,0,12,1,1,32,1,5,0,3,0.0,1.0,2.0,1,2.0,3.0,1,0,0,0,0.5,0,0,0.0,0,0,1,0,0,0,0
7481,1,2,1,2021,3,40,23,283,5,1,15,5,4,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,3,1,4,1,1,1,1,1,1,1,2,1,2,3,2,2,1,2,2,1,1,1.0,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0,2,75000,7,1,1,67,3,4,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0
5454,1,5,1,2022,3,43,2,562,3,1,17,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,4,1,1,1,1,1,1,1,2,2,2,4,4,2,1,1,2,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,185000,4,1,1,58,1,4,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.4,0,0,0.0,0,0,0,0,0,0,0
6404,1,5,1,2021,3,40,29,367,3,1,17,5,12,1,1,2.0,1,1,3,0,3,0,2,,,,1,10000,3,0,1,1,5,1,4,1,1,1,1,1,1,1,2,2,2,5,4,2,1,1,1,1,1,1.0,1,1,2,2,2,2,1,2,2,2,1,2,1,7,0,7,137000,4,1,2,46,1,4,0,3,0.0,1.0,2.0,1,1.0,1.0,1,1,1,0,0.2857142857142857,0,0,0.0,0,0,0,0,0,0,0
6434,1,3,1,2022,2,42,27,142,3,1,26,5,1,1,1,1.0,2,1,3,0,3,0,2,,,,0,0,5,0,1,1,6,1,1,1,1,1,1,1,1,2,2,2,2,6,3,2,1,1,2,1,4,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,6,0,6,370000,8,1,1,58,1,6,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0
4866,1,3,1,2021,2,1,33,3292,3,2,18,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,4,1,4,1,1,2,1,1,1,1,2,2,2,4,3,2,1,1,2,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,0,12,1,1,46,1,3,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0
1643,1,5,1,2021,2,40,22,199,3,2,22,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1.0,1,2,2,2,2,1,2,2,2,2,2,1,2,12,3,9,53000,1,1,2,44,1,3,0,3,2.0,2.0,1.0,1,1.0,1.0,1,1,1,0,0.25,0,0,0.0,1,0,0,0,0,0,0
3464,1,3,1,2021,2,40,19,188,3,1,14,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,2,2,4,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,4,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,37000,3,1,1,53,1,3,0,2,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.6666666666666666,0,0,0.0,0,0,0,0,0,0,0
6764,1,3,1,2021,2,43,34,597,3,1,14,5,4,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,4,2,1,2,1,1,1,2,2,2,2,4,2,1,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,70000,6,1,1,58,1,3,0,2,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.6666666666666666,0,0,0.0,0,0,0,0,0,0,0
