,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__n_neighbors,param_classifier__criterion,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__depth,param_classifier__iterations,param_classifier__verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.005727052688598633,0.0009744611428512506,0.2370142936706543,0.03192862662446118,KNeighborsClassifier(),2,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 2}",0.08108108108108109,0.061016949152542375,0.08135593220338982,0.0945945945945946,0.08445945945945946,0.08050160329821347,0.010908661225177559,74
1,0.004565382003784179,0.0003376410683790035,0.2053464412689209,0.01192975134601487,KNeighborsClassifier(),3,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 3}",0.1891891891891892,0.13559322033898305,0.2033898305084746,0.1858108108108108,0.17229729729729729,0.17725606962895096,0.02306052397857179,29
2,0.005831336975097657,0.0012984260635423136,0.22001175880432128,0.031936201372304296,KNeighborsClassifier(),4,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 4}",0.08108108108108109,0.05084745762711865,0.0847457627118644,0.08108108108108109,0.07432432432432433,0.07441594136509391,0.012255898198931145,75
3,0.005082130432128906,0.0012115595960227991,0.21650319099426268,0.02190477991359264,KNeighborsClassifier(),5,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 5}",0.13175675675675674,0.10847457627118644,0.15593220338983052,0.16554054054054054,0.12162162162162163,0.13666513971598718,0.021213750458869144,59
4,0.004424190521240235,0.00042601322892634293,0.19534173011779785,0.003878278761742521,KNeighborsClassifier(),6,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 6}",0.08108108108108109,0.06440677966101695,0.0576271186440678,0.08445945945945946,0.060810810810810814,0.06967704993128722,0.010955896556776507,76
5,0.004767465591430664,0.0009431884479123722,0.23002986907958983,0.032123001097083194,KNeighborsClassifier(),7,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 7}",0.13513513513513514,0.12203389830508475,0.10847457627118644,0.12837837837837837,0.11486486486486487,0.12177737059092993,0.009453211687281655,67
6,0.004801607131958008,0.0003161298236991731,0.20524072647094727,0.007099734222023352,KNeighborsClassifier(),8,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 8}",0.07432432432432433,0.07457627118644068,0.03389830508474576,0.08108108108108109,0.07432432432432433,0.06764086120018324,0.017068314937282565,77
7,0.005715179443359375,0.0007935370550470504,0.25008788108825686,0.04328147955057538,KNeighborsClassifier(),9,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 9}",0.11148648648648649,0.1152542372881356,0.08135593220338982,0.10810810810810811,0.11148648648648649,0.1055382501145213,0.012300830120716316,73
8,0.027115583419799805,0.0024369800620365686,0.005531501770019531,0.000828080019135708,DecisionTreeClassifier(),,gini,8,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 8}",0.12162162162162163,0.08813559322033898,0.13559322033898305,0.12162162162162163,0.14864864864864866,0.12312414109024279,0.020177671000203193,66
9,0.03678174018859863,0.007406557252266225,0.005775070190429688,0.0016599721666264381,DecisionTreeClassifier(),,gini,10,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 10}",0.16216216216216217,0.16610169491525423,0.15593220338983052,0.15878378378378377,0.14864864864864866,0.1583256985799359,0.005912165905593327,33
10,0.029343271255493165,0.0040168896404994955,0.004431915283203125,0.0008137532752892897,DecisionTreeClassifier(),,gini,12,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 12}",0.19594594594594594,0.17627118644067796,0.17627118644067796,0.16891891891891891,0.19256756756756757,0.18199496106275767,0.010420326842404426,24
11,0.03396463394165039,0.006184793667424265,0.004781055450439453,0.0017170294046551797,DecisionTreeClassifier(),,gini,14,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 14}",0.23310810810810811,0.17966101694915254,0.2,0.17229729729729729,0.21283783783783783,0.19958085203847914,0.022096119326060638,22
12,0.03233890533447266,0.0017083047162997013,0.00412144660949707,0.00015580741521623883,DecisionTreeClassifier(),,gini,16,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 16}",0.25,0.20677966101694914,0.2271186440677966,0.23310810810810811,0.25,0.2334012826385708,0.016120192756727866,19
13,0.033902740478515624,0.0018008402441934727,0.004145240783691407,0.00023624567728676636,DecisionTreeClassifier(),,gini,18,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 18}",0.2533783783783784,0.24745762711864408,0.22372881355932203,0.2668918918918919,0.28378378378378377,0.255048098946404,0.020036546014269012,14
14,0.042061567306518555,0.00818436835009449,0.006319999694824219,0.001155481499032718,DecisionTreeClassifier(),,gini,20,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 20}",0.25675675675675674,0.26440677966101694,0.24745762711864408,0.25,0.2668918918918919,0.2571026110856619,0.007652101834861419,13
