,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__class_weight,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,2.150019311904907,0.9637377521041781,0.4580383777618408,0.12932547711079215,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011006941712522092,"{0: 0.20041703325708254, 1: 2.377920952896589}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011006941712522092, 'classifier__class_weight': {0: 0.20041703325708254, 1: 2.377920952896589}}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
13,1.931272840499878,0.2916297282877623,0.49779582023620605,0.1806151863285051,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011006941712522092,"{0: 0.26388937767611004, 1: 1.9816007940804907}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011006941712522092, 'classifier__class_weight': {0: 0.26388937767611004, 1: 1.9816007940804907}}",0.8102981029810298,0.7432432432432432,0.8513513513513513,0.7317073170731707,0.8021680216802168,0.7877536072658022,0.04445910892609695,120
14,1.6466219425201416,0.3584267751740277,0.46228179931640623,0.06918527980942543,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011006941712522092,"{0: 0.32736172209513753, 1: 1.5852806352643924}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011006941712522092, 'classifier__class_weight': {0: 0.32736172209513753, 1: 1.5852806352643924}}",0.4254742547425474,0.4081081081081081,0.4,0.3712737127371274,0.4010840108401084,0.4011880172855783,0.01751568900064941,205
15,1.7163987636566163,0.22919110624474615,0.40650358200073244,0.08714802089087244,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011006941712522092,"{0: 0.3908340665141651, 1: 1.1889604764482948}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011006941712522092, 'classifier__class_weight': {0: 0.3908340665141651, 1: 1.1889604764482948}}",0.02710027100271003,0.021621621621621623,0.002702702702702703,0.008130081300813009,0.008130081300813009,0.013536951585732074,0.009221442019678769,463
16,1.649454927444458,0.1682489567632472,0.3691206932067871,0.03496062141959102,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011006941712522092,"{0: 0.4543064109331926, 1: 0.7926403176321966}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011006941712522092, 'classifier__class_weight': {0: 0.4543064109331926, 1: 0.7926403176321966}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,472
17,1.271313238143921,0.17701344405616623,0.35027589797973635,0.027033360367630058,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011006941712522092,"{0: 0.5177787553522201, 1: 0.3963201588160983}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011006941712522092, 'classifier__class_weight': {0: 0.5177787553522201, 1: 0.3963201588160983}}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,472
18,1.2551995277404786,0.1092779194180055,0.4220877647399902,0.14291297118906662,"LogisticRegression(penalty='l1', solver='liblinear')",0.001211527658628589,"{0: 0.01, 1: 3.5668814293448836}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001211527658628589, 'classifier__class_weight': {0: 0.01, 1: 3.5668814293448836}}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
19,2.0001436710357665,0.5263814698217547,0.5916290760040284,0.2949219079698735,"LogisticRegression(penalty='l1', solver='liblinear')",0.001211527658628589,"{0: 0.0734723444190275, 1: 3.1705612705287853}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001211527658628589, 'classifier__class_weight': {0: 0.0734723444190275, 1: 3.1705612705287853}}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
20,2.5678384780883787,0.6096907118750851,0.5915948390960694,0.2903616428021727,"LogisticRegression(penalty='l1', solver='liblinear')",0.001211527658628589,"{0: 0.13694468883805502, 1: 2.774241111712687}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001211527658628589, 'classifier__class_weight': {0: 0.13694468883805502, 1: 2.774241111712687}}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
21,1.9677652835845947,0.48179241289407004,0.45600366592407227,0.06708352701507499,"LogisticRegression(penalty='l1', solver='liblinear')",0.001211527658628589,"{0: 0.20041703325708254, 1: 2.377920952896589}",,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001211527658628589, 'classifier__class_weight': {0: 0.20041703325708254, 1: 2.377920952896589}}",1.0,1.0,1.0,1.0,0.991869918699187,0.9983739837398374,0.003252032520325221,62
