,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__class_weight,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__estimator__C,param_classifier__estimator__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,1.1856078624725341,0.07383441307921583,0.3945359706878662,0.051076105859545876,"LogisticRegression(penalty='l1', solver='liblinear')",0.0008659643233600654,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0008659643233600654, 'classifier__class_weight': 'balanced'}",0.3801526717557252,0.3485540334855403,0.39622641509433965,0.3825136612021858,0.391304347826087,0.3797502258727755,0.016649105095149754,293
15,1.2672051906585693,0.13756991837817584,0.3254362106323242,0.041670274231544575,"LogisticRegression(penalty='l1', solver='liblinear')",0.0008659643233600654,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0008659643233600654, 'classifier__class_weight': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,622
16,1.281925106048584,0.14876258798332864,0.40372424125671386,0.06672687362795655,"LogisticRegression(penalty='l1', solver='liblinear')",0.001,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001, 'classifier__class_weight': 'balanced'}",0.3843074459567654,0.36175298804780875,0.4072249589490969,0.40134340890008396,0.38608695652173913,0.38814315167509883,0.015835046402137738,292
17,1.351679277420044,0.17305007609162504,0.42763919830322267,0.1015402766159947,"LogisticRegression(penalty='l1', solver='liblinear')",0.001,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001, 'classifier__class_weight': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,622
18,1.1728787422180176,0.060599548722886275,0.3575599670410156,0.04820385996994059,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011547819846894581,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011547819846894581, 'classifier__class_weight': 'balanced'}",0.3853211009174312,0.35918367346938773,0.41196581196581195,0.3965367965367965,0.390026714158504,0.3886068194095863,0.01724564080923524,289
19,1.2325004577636718,0.03361763555273665,0.39216861724853513,0.0595388716607275,"LogisticRegression(penalty='l1', solver='liblinear')",0.0011547819846894581,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0011547819846894581, 'classifier__class_weight': None}",0.010723860589812333,0.005376344086021506,0.0,0.010723860589812333,0.005376344086021506,0.006440081870333536,0.004010966239675015,621
20,1.2750700473785401,0.11594970381560978,0.3219005107879639,0.02180752567302829,"LogisticRegression(penalty='l1', solver='liblinear')",0.001333521432163324,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001333521432163324, 'classifier__class_weight': 'balanced'}",0.3856655290102389,0.3662447257383966,0.4146981627296588,0.3929203539823009,0.386219401631913,0.38914963461850166,0.015571163869269714,287
21,1.2490875244140625,0.1246429341372902,0.3856616973876953,0.06458995045031278,"LogisticRegression(penalty='l1', solver='liblinear')",0.001333521432163324,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001333521432163324, 'classifier__class_weight': None}",0.042105263157894736,0.015957446808510637,0.005333333333333333,0.015789473684210527,0.010610079575596816,0.01795911931190921,0.012689910749996473,620
22,1.277197504043579,0.11331286335714555,0.3425286293029785,0.03271404466109315,"LogisticRegression(penalty='l1', solver='liblinear')",0.001539926526059492,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001539926526059492, 'classifier__class_weight': 'balanced'}",0.38441558441558443,0.3662447257383966,0.41740674955595025,0.39177101967799643,0.38381937911571024,0.3887314917007276,0.01661276432490748,288
23,1.3057578086853028,0.20162641837843978,0.3628694534301758,0.05276716046035197,"LogisticRegression(penalty='l1', solver='liblinear')",0.001539926526059492,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.001539926526059492, 'classifier__class_weight': None}",0.05699481865284974,0.02617801047120419,0.005291005291005291,0.020671834625323,0.020887728459530026,0.026004679499982454,0.01699469028833934,619
24,1.251708745956421,0.16675038284044047,0.33402013778686523,0.027049444701170794,"LogisticRegression(penalty='l1', solver='liblinear')",0.0017782794100389228,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0017782794100389228, 'classifier__class_weight': 'balanced'}",0.38441558441558443,0.366637706342311,0.4144796380090498,0.39177101967799643,0.38381937911571024,0.3882246655121304,0.015503629651908917,291
25,1.3815760612487793,0.16316943838047304,0.35007576942443847,0.07127683810678331,"LogisticRegression(penalty='l1', solver='liblinear')",0.0017782794100389228,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0017782794100389228, 'classifier__class_weight': None}",0.061696658097686374,0.05089058524173028,0.03636363636363636,0.030612244897959183,0.04568527918781726,0.04504968075776589,0.010913559699142409,618
26,1.3113916873931886,0.16776440545643406,0.4083087921142578,0.05130977891220895,"LogisticRegression(penalty='l1', solver='liblinear')",0.002053525026457146,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.002053525026457146, 'classifier__class_weight': 'balanced'}",0.3887423043095866,0.3685589519650655,0.40582347588717016,0.3887375113533152,0.390521327014218,0.3884767141058711,0.011848598130584137,290
27,1.5683301925659179,0.28473177037506286,0.497588062286377,0.07018777557944941,"LogisticRegression(penalty='l1', solver='liblinear')",0.002053525026457146,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.002053525026457146, 'classifier__class_weight': None}",0.09,0.05555555555555555,0.05089058524173028,0.06435643564356436,0.065,0.06516051528817005,0.01351708892459667,617
28,1.6042421817779542,0.30374975776263435,0.4125845909118652,0.04384263762262541,"LogisticRegression(penalty='l1', solver='liblinear')",0.0023713737056616554,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0023713737056616554, 'classifier__class_weight': 'balanced'}",0.3953900709219858,0.367816091954023,0.4121996303142329,0.39332096474953615,0.3962085308056872,0.392987057749093,0.014275603794416225,286
29,1.8169961452484131,0.26951144594819104,0.44708752632141113,0.049165626559603534,"LogisticRegression(penalty='l1', solver='liblinear')",0.0023713737056616554,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0023713737056616554, 'classifier__class_weight': None}",0.11330049261083744,0.06030150753768844,0.06516290726817042,0.0784313725490196,0.07389162561576355,0.0782175811162959,0.01866001328219321,614
30,1.5085690498352051,0.40425364687850995,0.3857419967651367,0.06180880811578462,"LogisticRegression(penalty='l1', solver='liblinear')",0.0027384196342643613,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0027384196342643613, 'classifier__class_weight': 'balanced'}",0.3964285714285714,0.36526410026857653,0.41263940520446096,0.40037071362372567,0.4,0.39494055810506684,0.01581922920539855,275
31,1.4090277194976806,0.2307394802084552,0.369873571395874,0.033476019683509016,"LogisticRegression(penalty='l1', solver='liblinear')",0.0027384196342643613,,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0027384196342643613, 'classifier__class_weight': None}",0.11246943765281174,0.06947890818858561,0.08823529411764706,0.0966183574879227,0.08333333333333333,0.09002706615606008,0.01426428029600983,602
32,1.1643800735473633,0.10482284913997178,0.3624007225036621,0.05426102932332115,"LogisticRegression(penalty='l1', solver='liblinear')",0.0031622776601683794,balanced,,,,,"{'classifier': LogisticRegression(penalty='l1', solver='liblinear'), 'classifier__C': 0.0031622776601683794, 'classifier__class_weight': 'balanced'}",0.4064748201438849,0.3679417122040073,0.41263940520446096,0.40149393090569563,0.4045368620037807,0.3986173460923658,0.015764948230043575,257
